Erractic Fast    MFast   MSlow   Slow    Fluctuating
15	6	8	9	10	4
37	15	19	48	23	9
70	30	37	39	47	19
115	49	61	39	76	33
169	72	91	44	114	47
231	102	127	57	158	66
305	135	169	78	212	98
384	174	217	105	271	117
474	217	271	141	339	147
569	264	331	182	413	205
672	318	397	231	497	222
781	375	469	288	586	263
897	438	547	351	684	361
1,018	505	631	423	788	366
1,144	576	721	500	902	500
1,274	654	817	585	1,021	589
1,409	735	919	678	1,149	686
1,547	822	1,027	777	1,283	794
1,689	913	1,141	885	1,427	914
1,832	1,008	1,261	998	1,576	1,042
1,978	1,110	1,387	1,119	1,734	1,184
2,127	1,215	1,519	1,248	1,898	1,337
2,275	1,326	1,657	1,383	2,072	1,503
2,425	1,441	1,801	1,527	2,251	1,681
2,575	1,560	1,951	1,676	2,439	1,873
2,725	1,686	2,107	1,833	2,633	2,080
2,873	1,815	2,269	1,998	2,837	2,299
3,022	1,950	2,437	2,169	3,046	2,535
3,168	2,089	2,611	2,349	3,264	2,786
3,311	2,232	2,791	2,534	3,488	3,051
3,453	2,382	2,977	2,727	3,722	3,335
3,591	2,535	3,169	2,928	3,961	3,634
3,726	2,694	3,367	3,135	4,209	3,951
3,856	2,857	3,571	3,351	4,463	4,286
3,982	3,024	3,781	3,572	4,727	4,639
4,103	3,198	3,997	3,801	4,996	3,997
4,219	3,375	4,219	4,038	5,274	5,316
4,328	3,558	4,447	4,281	5,558	4,536
4,431	3,745	4,681	4,533	5,852	6,055
4,526	3,936	4,921	4,790	6,151	5,117
4,616	4,134	5,167	5,055	6,459	6,856
4,695	4,335	5,419	5,328	6,773	5,744
4,769	4,542	5,677	5,607	7,097	7,721
4,831	4,753	5,941	5,895	7,426	6,417
4,885	4,968	6,211	6,188	7,764	8,654
4,930	5,190	6,487	6,489	8,108	7,136
4,963	5,415	6,769	6,798	8,462	9,658
4,986	5,646	7,057	7,113	8,821	7,903
4,999	5,881	7,351	7,437	9,189	10,734
6,324	6,120	7,651	7,766	9,563	8,722
6,471	6,366	7,957	8,103	9,947	11,883
6,615	6,615	8,269	8,448	10,336	9,592
6,755	6,870	8,587	8,799	10,734	13,110
6,891	7,129	8,911	9,159	11,138	10,515
7,023	7,392	9,241	9,524	11,552	14,417
7,150	7,662	9,577	9,897	11,971	11,492
7,274	7,935	9,919	10,278	12,399	15,805
7,391	8,214	10,267	10,665	12,833	12,526
7,506	8,497	10,621	11,061	13,277	17,278
7,613	8,784	10,981	11,462	13,726	13,616
7,715	9,078	11,347	11,871	14,184	18,837
7,812	9,375	11,719	12,288	14,648	14,766
7,903	9,678	12,097	12,711	15,122	20,485
7,988	9,985	12,481	13,143	15,601	15,976
8,065	10,296	12,871	13,580	16,089	22,224
8,137	10,614	13,267	14,025	16,583	17,247
8,201	10,935	13,669	14,478	17,087	24,059
9,572	11,262	14,077	14,937	17,596	18,581
9,052	11,593	14,491	15,405	18,114	25,989
9,870	11,928	14,911	15,878	18,638	19,980
10,030	12,270	15,337	16,359	19,172	28,017
9,409	12,615	15,769	16,848	19,711	21,446
10,307	12,966	16,207	17,343	20,259	30,146
10,457	13,321	16,651	17,847	20,813	22,978
9,724	13,680	17,101	18,356	21,377	32,379
10,710	14,046	17,557	18,873	21,946	24,580
10,847	14,415	18,019	19,398	22,524	34,717
9,995	14,790	18,487	19,929	23,108	26,252
11,073	15,169	18,961	20,469	23,702	37,165
11,197	15,552	19,441	21,014	24,301	27,995
10,216	15,942	19,927	21,567	24,909	39,722
11,393	16,335	20,419	22,128	25,523	29,812
11,504	16,734	20,917	22,695	26,147	42,392
10,382	17,137	21,421	23,271	26,776	31,704
11,667	17,544	21,931	23,852	27,414	45,179
11,762	17,958	22,447	24,441	28,058	33,670
10,488	18,375	22,969	25,038	28,712	48,083
11,889	18,798	23,497	25,641	29,371	35,715
11,968	19,225	24,031	26,253	30,039	51,108
10,532	19,656	24,571	26,870	30,713	37,839
12,056	20,094	25,117	27,495	31,397	54,254
12,115	20,535	25,669	28,128	32,086	40,043
10,508	20,982	26,227	28,767	32,784	57,526
12,163	21,433	26,791	29,415	33,488	42,330
12,202	21,888	27,361	30,068	34,202	60,925
10,411	22,350	27,937	30,729	34,921	44,699
12,206	22,815	28,519	31,398	35,649	64,455
8,343	23,286	29,107	32,073	36,383	47,153
8,118	23,761	29,701	32,757	37,127	68,116
